length,url_count,exclamation_count,dollar_count,uppercase_ratio,label
1038,0,0,0,0.08565928777670838,0
598,0,0,1,0.045075125208681135,0
654,0,0,0,0.044274809160305344,0
6178,0,3,0,0.046771322220424016,0
1007,0,0,0,0.041666666666666664,0
1053,0,0,0,0.056925996204933584,0
1195,0,0,0,0.033444816053511704,0
814,0,0,0,0.06134969325153374,0
1304,0,0,1,0.045210727969348656,0
1151,0,0,0,0.06336805555555555,0
380,0,0,0,0.11548556430446194,0
1707,0,1,0,0.028688524590163935,0
223,0,0,0,0.049107142857142856,0
482,0,0,0,0.045548654244306416,0
1503,0,0,16,0.032579787234042555,0
671,0,0,0,0.041666666666666664,0
1188,0,0,0,0.045416316232127836,0
1250,0,0,0,0.04316546762589928,0
698,0,0,0,0.04005722460658083,0
630,0,1,0,0.08399366085578447,0
3744,0,1,1,0.05420560747663551,0
539,0,1,0,0.0962962962962963,0
748,0,2,0,0.037383177570093455,0
1282,0,3,0,0.048324240062353856,0
787,0,0,0,0.03553299492385787,0
262,0,0,0,0.04182509505703422,0
5247,0,0,0,0.020579268292682928,0
748,0,0,0,0.04539385847797063,0
1157,0,0,0,0.025906735751295335,0
442,0,0,0,0.05869074492099323,0
588,0,0,2,0.07130730050933787,0
816,0,0,0,0.03427172582619339,0
1022,0,3,0,0.09481915933528837,0
317,0,0,0,0.0440251572327044,0
3652,0,0,1,0.041609635915685735,0
4106,0,2,0,0.03676649622595569,0
142,0,0,0,0.16083916083916083,0
174,0,1,0,0.08571428571428572,0
4366,0,2,0,0.038699335928555074,0
3334,0,2,0,0.051574212893553226,0
864,0,0,0,0.04971098265895954,0
4692,0,0,0,0.030683997443000214,0
1961,0,0,0,0.022426095820591234,0
2436,0,2,0,0.024620434961017644,0
3414,0,0,0,0.03279648609077599,0
879,0,0,0,0.042045454545454546,0
102,0,0,0,0.04854368932038835,0
1108,0,0,0,0.04508566275924256,0
1238,0,1,0,0.02744148506860371,0
3757,0,0,0,0.041511442256519426,0
1351,0,0,0,0.04807692307692308,0
